date,BANDHAN ,Edelweiss ,Taurus ,HDFC ,DSP ,Union ,BANK OF INDIA ,Aditya Birla Sun Life ,SBI LONG TERM EQUITY FUND ,LIC MF ,Invesco India ,JM ,Axis ,ICICI Prudential ,UTI ,quant ,Tata ,Motilal Oswal ,PGIM India ,Navi ,Mirae Asset ,Mahindra Manulife ,Groww ,Parag Parikh ,ITI ,Sundaram ,BARODA BNP PARIBAS ,Samco ,HSBC ,HSBC ,Zerodha 
2022-05-16,98.74,70.58,111.08,732.48,79.381,39.56,97.87,40.0,214.2544,98.1814,80.81,27.8762,66.2938,582.34,137.5478,222.6854,27.9535,25.5025,23.68,20.3227,30.789,18.6295,13.07,18.1334,12.931,313.4846,56.7138,,,,
2022-05-17,101.21,72.32,113.36,745.716,81.106,40.52,99.98,40.8,218.4885,100.5334,83.06,28.4501,67.8271,596.11,140.4509,231.0355,28.6477,25.9678,24.23,20.8475,31.491,19.1561,13.35,18.5338,13.2709,320.2174,58.0626,,,,
2022-05-18,101.18,72.28,113.28,743.372,81.027,40.54,99.94,40.83,217.6149,100.4692,82.84,28.3471,67.772,594.82,140.3595,231.5843,28.5382,25.9648,24.24,20.8061,31.418,19.1725,13.37,18.5139,13.2753,318.7677,58.0711,,,,
2022-05-19,98.19,70.63,111.78,728.022,79.023,39.49,97.52,40.05,212.6556,97.6717,80.57,27.5816,65.8496,578.79,136.868,226.4513,27.8769,25.2746,23.69,20.2818,30.626,18.6804,12.97,18.2446,12.9664,310.4853,56.495,,,,
2022-05-20,100.78,72.53,113.9,746.8,80.743,40.45,99.38,40.82,217.0389,99.9011,82.37,28.258,66.8472,591.63,139.4974,233.5741,28.6168,25.9069,24.23,20.7979,31.341,19.1082,13.33,18.5735,13.2764,317.948,58.0305,,,,
2022-05-23,100.17,72.28,113.81,747.467,80.554,40.32,98.66,40.9,216.9584,99.8335,82.26,28.3268,66.6512,592.75,139.369,231.5809,28.5953,25.7723,24.14,20.727,31.243,19.0238,13.38,18.5778,13.1894,317.3628,57.8359,,,,
2022-05-24,99.19,71.84,113.24,744.283,80.068,40.05,98.2,40.81,215.7573,99.261,81.91,28.1601,66.3628,588.1,138.2953,228.7131,28.3809,25.6244,23.94,20.6524,31.024,18.8684,13.25,18.4762,13.0941,316.2612,57.5271,,,,
2022-05-25,97.65,71.06,112.25,742.316,79.346,39.69,97.01,40.66,213.9973,98.2001,81.06,27.8638,65.4557,583.65,136.532,224.3778,28.1894,25.3272,23.75,20.4543,30.829,18.7126,13.15,18.3552,13.0049,313.1808,56.9731,,,,
2022-05-26,98.97,71.81,112.47,751.115,80.297,40.09,97.81,40.89,216.4354,99.09,81.85,28.1956,66.161,590.78,138.2911,227.0181,28.5442,25.8956,23.95,20.6476,31.238,18.9033,13.3,18.4863,13.1644,316.1373,57.3918,,,,
2022-05-27,100.16,72.69,113.57,755.904,81.042,40.51,99.12,41.36,218.2598,100.34,83.06,28.5841,67.2291,597.06,140.0719,228.5585,28.8709,26.2641,24.15,20.8637,31.49,19.1468,13.47,18.6891,13.2877,320.2943,58.1156,,,,
2022-05-30,102.49,74.28,114.98,767.433,82.359,41.4,101.13,42.01,222.9005,102.6303,84.86,29.2381,68.533,609.49,142.972,233.2207,29.4436,26.8053,24.65,21.2985,32.092,19.5841,13.73,18.9322,13.5335,327.8506,59.2612,,,,
2022-05-31,102.69,74.29,114.8,769.609,82.541,41.41,101.35,41.85,223.5109,102.7211,84.56,29.1641,69.1361,610.83,143.2685,233.4314,29.3931,26.7599,24.59,21.2604,32.027,19.6014,13.64,19.0216,13.529,327.6021,59.141,,,,
2022-06-01,102.65,73.99,115.15,767.754,82.307,41.32,101.48,41.79,223.6577,102.1745,84.37,29.111,68.8319,607.87,142.8865,233.3047,29.3742,26.7226,24.52,21.2063,31.911,19.5371,13.59,18.9343,13.5648,327.5754,59.143,,,,
2022-06-02,103.13,74.23,115.13,770.488,82.576,41.6,101.68,41.98,224.5734,102.4262,84.64,29.2656,68.8276,611.56,143.1177,235.5071,29.4898,26.7922,24.63,21.3354,32.061,19.6174,13.65,18.9173,13.651,328.8595,59.4953,,,,
2022-06-03,102.04,73.72,114.77,765.268,81.767,41.28,100.88,41.94,223.052,102.0173,84.13,28.9148,68.0717,606.78,141.7592,233.0832,29.286,26.409,24.48,21.2152,31.868,19.5448,13.63,18.8079,13.5889,325.731,59.0811,,,,
2022-06-06,101.77,73.61,114.66,764.503,81.704,41.2,100.56,41.76,223.0129,101.7901,83.74,28.8558,67.548,604.15,141.1918,232.5851,29.1924,26.2869,24.42,21.148,31.755,19.493,13.57,18.7492,13.5835,324.724,58.8403,,,,
2022-06-07,100.96,72.89,113.78,760.088,81.053,40.83,99.83,41.48,221.4981,100.6705,83.01,28.5485,66.7412,599.1,139.6257,231.0466,29.0212,25.9294,24.25,21.0129,31.481,19.2708,13.42,18.6608,13.5531,322.1257,58.2925,,,,
2022-06-08,100.52,72.53,113.38,758.23,80.963,40.65,99.31,41.31,220.6173,100.4356,82.79,28.4209,66.9337,597.88,138.9176,230.1466,28.9369,25.8069,24.15,20.9307,31.421,19.2299,13.4,18.6241,13.5549,320.8888,58.1397,,,,
2022-06-09,100.86,72.89,113.85,763.074,81.322,40.82,99.68,41.66,221.8555,101.1809,83.37,28.6187,67.2604,601.5,139.7777,231.3032,29.0205,25.8845,24.3,21.0412,31.626,19.3495,13.48,18.7059,13.6438,322.523,58.4224,,,,
2022-06-10,99.86,72.01,112.69,756.234,80.577,40.37,98.64,41.08,219.7567,99.8595,82.05,28.2726,66.1339,593.86,138.3561,229.5046,28.6495,25.6293,24.01,20.7532,31.258,19.1096,13.33,18.5434,13.4582,318.8914,57.6257,,,,
2022-06-13,97.17,70.13,110.58,737.921,78.447,39.36,96.1,40.27,214.3956,97.2844,79.88,27.4495,64.4339,579.06,134.8206,221.4927,27.9183,24.926,23.42,20.1913,30.463,18.6164,12.97,18.1714,13.0949,310.1263,56.2256,,,,
2022-06-14,96.95,70.09,110.18,738.626,78.345,39.34,96.02,40.21,214.3402,97.2146,79.62,27.4487,64.3993,579.3,134.7234,222.2331,27.8974,24.9097,23.42,20.1324,30.445,18.5683,12.94,18.1531,13.0453,309.1247,56.1714,,,,
2022-06-15,97.23,70.28,110.09,738.401,78.412,39.35,96.37,40.19,214.3726,97.3129,79.86,27.5133,64.8568,579.08,134.9556,222.3185,27.9249,25.002,23.43,20.1716,30.428,18.5554,12.96,18.1964,13.0433,310.4705,56.2268,,,,
2022-06-16,94.81,68.84,108.2,722.871,76.658,38.59,94.44,39.5,209.7625,95.461,78.24,26.9057,63.7459,567.14,132.3794,215.6276,27.2786,24.5086,22.96,19.6927,29.831,18.1854,12.7,17.7929,12.7502,304.2725,55.1275,,,,
2022-06-17,93.96,68.41,107.21,717.847,76.055,38.31,93.75,39.24,208.3664,94.7615,77.74,26.6485,62.9852,561.45,131.4503,214.1775,27.1201,24.3786,22.8,19.5931,29.52,18.073,12.65,17.642,12.6797,302.8498,54.8398,,,,
2022-06-20,93.08,68.33,107.41,712.549,75.71,38.27,93.48,39.16,206.8211,94.9217,77.73,26.6207,63.378,560.98,131.5269,209.7141,27.0728,24.4201,22.68,19.5005,29.448,18.0816,12.65,17.6154,12.6027,302.0102,54.9788,,,,
2022-06-21,95.26,69.64,108.94,728.294,77.166,38.9,95.03,39.78,210.7673,96.5008,79.14,27.0753,64.4233,573.18,134.0551,216.2287,27.5904,24.863,23.19,19.8993,30.096,18.425,12.89,17.9448,12.8753,308.0807,55.8549,,,,
2022-06-22,94.19,68.87,107.78,719.42,76.281,38.45,93.97,39.29,208.0505,95.2733,78.03,26.7175,63.7074,566.08,132.7115,211.7542,27.1983,24.6057,22.91,19.6435,29.725,18.199,12.73,17.733,12.7073,304.8445,55.0971,,,,
2022-06-23,95.39,69.66,108.6,727.816,77.27,38.86,94.87,39.54,210.8154,96.3613,78.89,27.1046,64.47,572.75,134.7192,214.0414,27.465,24.9241,23.18,19.8413,30.047,18.3961,12.85,17.9058,12.8124,309.657,55.7094,,,,
2022-06-24,96.49,70.32,109.36,733.932,78.025,39.28,96.07,39.94,212.9949,97.28,79.71,27.328,65.2431,577.87,136.1172,217.5692,27.7497,25.2457,23.38,20.0353,30.353,18.5755,12.95,18.074,12.9182,313.2572,56.2777,,,,
2022-06-27,97.54,71.07,110.58,741.96,78.996,39.66,96.68,40.29,215.2026,97.9292,80.29,27.5617,65.5288,584.73,137.6043,220.36,28.0455,25.4728,23.66,20.2537,30.628,18.7738,13.09,18.2541,13.0399,315.7051,56.7586,,,,
2022-06-28,97.86,71.08,110.49,744.487,79.021,39.74,96.84,40.26,215.9453,97.9043,80.17,27.649,65.4275,586.32,137.8396,221.6633,28.0936,25.5248,23.71,20.2945,30.678,18.7955,13.04,18.2381,13.0761,315.6324,56.8286,,,,
2022-06-29,97.56,71.01,109.82,741.552,78.733,39.63,96.85,40.12,215.5186,97.4758,79.65,27.4738,64.8133,583.53,136.9648,221.3925,28.0477,25.2273,23.66,20.2232,30.49,18.7248,13.01,18.1391,13.092,314.1806,56.6858,,,,
2022-06-30,97.17,70.97,110.21,739.929,78.648,39.68,96.78,40.21,214.7551,97.1288,79.54,27.4342,64.3604,581.83,136.6154,220.1405,28.079,25.2297,23.66,20.1943,30.599,18.7048,12.97,18.142,13.0608,313.5432,56.5705,,,,
